GENE_SYMBOLS,refseq_ids
THEM5,NM_182578
FLG2,NM_001014342
FCGR3A,NM_000569
PRELP,NM_002725
WDR64,NM_001367482
COLEC11,NM_001255982
SPRED2,NM_001128210
RND3,NM_001254738
FAP,NM_001291807
STAB1,NM_015136
TEX55,NM_152539
HOMER1,NM_001277077
STMND1,NM_001190766
SCGN,NM_006998
AIF1,NM_001318970
C6orf118,NM_144980
TMEM184A,NM_001097620
TNFRSF11B,NM_002546
MTRNR2L8,NM_001190702
SMIM38,NM_001369201
CD163,NM_001370145
USP12-AS1,NR_046547
GPR65,NM_003608
SERPINA1,NM_000295
TRPM1,NM_001252020
TMEM114,NM_001146336
LRRC25,NM_145256
SIGLEC9,NM_001198558
SIRPB2,NM_001122962
EFCAB8,NM_001143967
NCF4,NM_000631
Z97056.2,NA
NLGN4Y-AS1,NR_046504
PRICKLE2-AS2,NR_046701
